number,exp,child,tax,fin,natur,edu,self
1985,283490.44,1,72390.0,22500,0.0,4.0,3.0
1986,344650.11,1,49880.0,55000,0.0,4.0,4.0
1987,155862.67,1,44500.0,0,0.0,5.0,3.0
1988,154087.61,1,53350.0,0,0.0,4.0,2.0
1989,234697.56,3,62882.0,117700,1528.47,3.0,4.0
1991,248804.21,3,71239.0,137500,0.0,3.0,4.0
1992,243186.42,1,42009.0,27500,0.0,3.0,4.0
1993,299971.64,2,53706.0,35000,0.0,3.0,4.0
1994,236519.14,2,52800.0,35000,0.0,3.0,4.0
1995,246965.29,1,52702.0,2500,0.0,4.0,6.0
1996,132502.05,1,50860.0,12500,0.0,5.0,3.0
1997,138893.8,1,11100.0,12500,0.0,5.0,3.0
1998,180670.41,1,35100.0,7500,0.0,3.0,3.0
1999,149140.74,1,8400.0,7500,0.0,4.0,3.0
2001,193343.44,1,31250.0,17500,0.0,5.0,3.0
2002,165028.56,1,24130.0,3200,0.0,4.0,3.0
2003,189723.54,1,58540.0,600,0.0,4.0,6.0
2004,122482.0,1,16150.0,1500,0.0,4.0,4.0
2005,189649.72,2,40350.0,1000,0.0,4.0,4.0
2006,88757.42,1,13693.0,27300,0.0,5.0,3.0
2007,73058.15,1,14518.0,19300,0.0,5.0,3.0
2008,153593.84,2,28936.0,24900,0.0,3.0,4.0
2009,179538.03,1,25528.0,21800,0.0,4.0,4.0
2010,96034.65,1,20600.0,7500,0.0,4.0,3.0
2011,115120.91,1,41350.0,7500,0.0,5.0,4.0
2012,107229.07,1,23650.0,0,0.0,5.0,3.0
2014,191963.69,1,49600.0,17500,0.0,4.0,3.0
2015,260178.06,3,35000.0,700,0.0,2.0,4.0
2018,139852.12,1,37620.0,5000,0.0,5.0,3.0
2019,85850.43,1,12617.0,2000,0.0,4.0,2.0
2020,170768.98,1,38990.0,4000,0.0,5.0,3.0
2022,150312.15,1,18566.0,4000,0.0,5.0,3.0
2023,164815.88,3,64100.0,1000,0.0,3.0,5.0
2024,150347.95,1,44800.0,1000,0.0,5.0,0.0
2025,307942.18,1,69700.0,67500,0.0,5.0,4.0
2026,193930.61,1,63000.0,1500,0.0,5.0,0.0
2027,179371.62,1,56550.0,1800,0.0,5.0,4.0
2028,122496.5,1,16300.0,12500,0.0,4.0,4.0
2029,156199.92,2,45100.0,2500,0.0,3.0,4.0
2030,119756.52,1,3500.0,2500,0.0,5.0,3.0
2032,148410.5,1,20100.0,7500,0.0,4.0,2.0
2033,117254.34,1,31800.0,7500,0.0,5.0,3.0
2034,93952.12,2,26910.0,0,0.0,3.0,3.0
2035,304566.66,3,64496.0,64689,0.0,3.0,4.0
2036,278586.04,1,52147.0,0,0.0,5.0,4.0
2037,119646.14,1,5464.0,0,0.0,5.0,4.0
2038,221787.19,2,45305.0,0,0.0,3.0,4.0
2039,214127.42,1,54101.0,0,0.0,5.0,5.0
2040,253744.93,1,49799.0,0,0.0,5.0,5.0
2041,244428.24,1,32800.0,500,0.0,4.0,3.0
2043,172157.27,1,31200.0,2000,0.0,5.0,3.0
2044,87623.85,1,0.0,300,0.0,5.0,2.0
2046,174964.81,1,42166.0,12500,0.0,5.0,4.0
2047,328035.55,2,44510.0,7500,0.0,3.0,4.0
2048,311141.4,1,27522.0,-25000,0.0,5.0,4.0
2049,191709.88,1,18520.0,0,0.0,5.0,4.0
2050,255600.1,1,37284.0,7500,0.0,5.0,4.0
2051,317501.66,1,57950.0,2500,0.0,4.0,5.0
2052,171201.78,1,49440.0,2500,0.0,4.0,5.0
2053,231124.24,1,42850.0,2500,0.0,5.0,4.0
2054,183890.6,2,40509.0,2500,0.0,3.0,3.0
2055,175878.95,1,23400.0,2500,0.0,5.0,3.0
2056,217394.59,2,27300.0,2500,0.0,4.0,3.0
2057,139062.54,2,27949.0,2500,0.0,3.0,3.0
2058,188198.5,3,19500.0,2500,0.0,3.0,3.0
2059,82000.07,1,0.0,2500,0.0,5.0,3.0
2060,206527.94,2,23400.0,2500,0.0,4.0,3.0
2061,88876.46,1,0.0,2500,0.0,4.0,3.0
2062,161825.33,1,15600.0,2500,0.0,5.0,3.0
2063,303613.86,2,47649.0,2500,0.0,3.0,3.0
2064,132564.38,1,46900.0,22500,0.0,5.0,4.0
2065,114573.99,1,50600.0,22500,0.0,4.0,4.0
2066,119432.73,1,57200.0,27500,0.0,5.0,4.0
2067,87622.04,1,0.0,17500,0.0,4.0,4.0
2068,103965.14,2,26350.0,17500,0.0,3.0,3.0
2069,182383.77,1,39955.0,15000,0.0,4.0,6.0
2070,185999.09,1,36545.0,10000,0.0,4.0,6.0
2071,212407.67,2,45220.0,18000,0.0,4.0,6.0
2072,103272.14,1,17930.0,0,0.0,5.0,3.0
2073,165017.34,1,38025.0,35000,0.0,5.0,3.0
2074,90848.3,1,23200.0,2500,0.0,4.0,5.0
2075,73328.74,1,26600.0,2500,0.0,4.0,6.0
2076,626233.58,2,87650.0,5500,12500.0,3.0,4.0
2078,104164.12,1,13200.0,2500,0.0,5.0,3.0
2079,165594.41,1,50159.0,122500,0.0,5.0,4.0
2080,205707.51,1,48374.0,0,3000.0,3.0,4.0
2081,132409.69,1,9900.0,7500,0.0,5.0,3.0
2084,112586.61,1,17752.0,2500,800.0,4.0,3.0
2085,452768.73,2,60730.0,-135000,6100.0,3.0,4.0
2086,218929.3,3,52020.0,0,0.0,2.0,2.0
2087,57874.93,1,0.0,2300,6000.0,2.0,2.0
2088,255426.89,2,28350.0,52000,11795.63,4.0,5.0
2089,106439.61,1,0.0,2500,0.0,3.0,2.0
2090,138760.04,1,0.0,5000,2500.0,4.0,2.0
2091,220774.38,2,44572.0,0,0.0,3.0,3.0
2092,286571.36,1,64223.0,0,0.0,4.0,4.0
